C:\Users\WhizKid2004\PycharmProjects\poliGPTTest\venv\Scripts\python.exe C:\Users\WhizKid2004\PycharmProjects\a1\part1\main.py
Executing GP Runs Please Wait...
   	      	                            fitness                            	                          size
   	      	---------------------------------------------------------------	-------------------------------------------------------
gen	nevals	avg    	gen	max        	med    	min    	nevals	std    	avg    	gen	max	med	min	nevals	std
0  	300   	8430.35	0  	1.15012e+06	23.7439	16.5762	300   	86736.9	14.8733	0  	45 	13 	4  	300   	7.92532
1  	277   	158487 	1  	4.56669e+07	21.7313	16.506 	277   	2.63321e+06	13.99  	1  	48 	12 	1  	277   	9.15113
2  	271   	9547.77	2  	1.28944e+06	21.4262	16.1307	271   	90817.3    	13.84  	2  	48 	12 	1  	271   	8.34991
3  	286   	2837.91	3  	761457     	21.0717	15.141 	286   	44024      	14.5633	3  	48 	13 	1  	286   	9.12794
4  	264   	94098.8	4  	2.82113e+07	20.8422	15.141 	264   	1.62606e+06	16.7   	4  	46 	15 	1  	264   	9.77633
5  	270   	27.4804	5  	753.101    	20.3714	15.141 	270   	52.6277    	19.87  	5  	50 	19 	1  	270   	10.8471
6  	267   	54.0042	6  	3071.3     	19.4493	15.141 	267   	262.483    	23.2267	6  	53 	24 	1  	267   	11.1413
7  	276   	29.2769	7  	1005.69    	18.577 	13.2954	276   	73.3912    	25.9467	7  	65 	26 	1  	276   	11.2743
8  	275   	98.7837	8  	22217.1    	18.2938	13.2486	275   	1279.69    	27.12  	8  	54 	27 	2  	275   	10.3366
9  	277   	32.6142	9  	2693.55    	17.4245	12.5655	277   	165.56     	28.7633	9  	69 	28 	6  	277   	10.0952
10 	270   	19.8945	10 	306.666    	16.9228	11.957 	270   	20.0886    	31.3133	10 	67 	31 	1  	270   	11.88
11 	271   	46.0037	11 	6691.47    	16.5968	11.957 	271   	387.446    	32.5   	11 	67 	32 	3  	271   	12.1187
12 	286   	22.8957	12 	499.465    	16.4101	11.385 	286   	42.3897    	36.51  	12 	72 	36 	6  	286   	13.3108
13 	283   	21.4319	13 	393.871    	15.9913	6.37406	283   	31.8267    	38.5833	13 	77 	38 	2  	283   	13.8416
14 	278   	1896.07	14 	558090     	15.8866	5.03062	278   	32166      	41.2833	14 	79 	40 	2  	278   	14.6095
15 	283   	191.84 	15 	38878.3    	15.7507	4.26395	283   	2299.67    	44.1867	15 	85 	44 	3  	283   	16.2166
16 	283   	27.1455	16 	1032.7     	15.8304	3.30811	283   	69.8683    	46.5867	16 	93 	46 	2  	283   	17.1259
17 	279   	111.317	17 	13452.8    	16.1966	2.03814	279   	930.595    	48.1367	17 	112	47 	1  	279   	17.5884
18 	273   	42.4471	18 	5667.9     	14.7231	2.03814	273   	328.494    	48.8167	18 	112	50 	4  	273   	18.3645
19 	270   	340.238	19 	87813.8    	13.7072	1.43235	270   	5066.81    	49.25  	19 	103	49 	1  	270   	17.5615
20 	274   	12477.3	20 	2.43076e+06	14.3196	1.43235	274   	157357     	49.4333	20 	103	48.5	1  	274   	18.1915
21 	268   	59.9919	21 	4526.19    	12.5395	1.43235	268   	354.512    	50.0833	21 	126	47  	2  	268   	19.463
22 	284   	740.55 	22 	121460     	13.1895	1.28933	284   	7505.11    	53.8767	22 	130	51.5	2  	284   	21.4094
23 	283   	2.94576e+06	23 	8.83668e+08	9.14869	1.28933	283   	5.09335e+07	56.0833	23 	125	54  	5  	283   	22.4065
24 	274   	276.121    	24 	33958.7    	5.52509	0.809119	274   	2405.26    	60.0633	24 	122	59.5	1  	274   	22.5264
25 	279   	1358.45    	25 	199547     	4.37821	0.809119	279   	15659.5    	60.39  	25 	123	58  	2  	279   	22.2661
26 	263   	66.6895    	26 	9754.47    	4.21478	0.797439	263   	598.305    	64.13  	26 	148	61  	3  	263   	23.2712
27 	271   	33.0756    	27 	4806.27    	4.1727 	0.732326	271   	280.638    	68.2533	27 	138	67.5	2  	271   	26.2948
28 	264   	14055      	28 	4.16291e+06	3.34119	0.649039	264   	239948     	71.9933	28 	144	72  	3  	264   	25.4087
29 	288   	72.448     	29 	11367      	3.24308	0.417099	288   	687.687    	76.68  	29 	145	81  	4  	288   	27.9074
30 	273   	297.729    	30 	62000.7    	3.45667	0.417099	273   	3652.09    	79.9733	30 	152	85  	1  	273   	29.3974
31 	275   	62.7849    	31 	14323.7    	3.29652	0.417099	275   	826.131    	88.5333	31 	160	91  	15 	275   	28.4053
32 	267   	83.3817    	32 	14004.1    	3.14219	0.417099	267   	879.573    	92.3533	32 	158	97  	5  	267   	31.225
33 	273   	905.255    	33 	252248     	2.39871	0.417099	273   	14551      	101.793	33 	186	104.5	26 	273   	28.6392
34 	281   	14.7351    	34 	480.125    	2.44712	0.417099	281   	47.2254    	106.237	34 	164	114  	3  	281   	27.106
35 	272   	99.2868    	35 	13953.5    	2.15866	0.417099	272   	975.423    	110.697	35 	177	116  	35 	272   	26.0468
36 	276   	199.356    	36 	22399.1    	1.55493	0.417099	276   	1732.91    	112.79 	36 	171	117  	31 	276   	24.94
37 	283   	219.002    	37 	22483.3    	3.0942 	0.417099	283   	1645.33    	112.997	37 	183	114  	2  	283   	23.7541
38 	275   	31.3355    	38 	4036.12    	2.29185	0.417099	275   	258.212    	110.733	38 	169	113  	2  	275   	23.9953
39 	266   	11583.7    	39 	3.47072e+06	1.52631	0.417099	266   	200047     	112.437	39 	176	113  	26 	266   	21.3121
40 	264   	89.7531    	40 	13971.3    	2.05506	0.417099	264   	915.441    	108.74 	40 	168	109  	1  	264   	24.6884
41 	275   	68.8714    	41 	13916      	2.1832 	0.417099	275   	809.768    	109.433	41 	165	110  	1  	275   	23.8741
42 	268   	224.067    	42 	22346.9    	1.85783	0.417099	268   	1806.67    	106.71 	42 	178	108  	40 	268   	23.9939
43 	280   	63.9521    	43 	13959.8    	2.00252	0.417099	280   	812.345    	110.177	43 	174	111  	1  	280   	23.543
44 	268   	43.3572    	44 	3520.44    	1.50796	0.417099	268   	280.095    	111.687	44 	173	113  	32 	268   	24.1185
45 	274   	61.9116    	45 	8856.34    	1.78318	0.417099	274   	559.355    	113.447	45 	183	115  	2  	274   	22.9828
46 	279   	617.164    	46 	117242     	1.6271 	0.417099	279   	6978.02    	114.21 	46 	195	115.5	3  	279   	25.8566
47 	275   	38.3745    	47 	8907.85    	1.45126	0.417099	275   	513.625    	114.363	47 	178	116  	1  	275   	24.3834
48 	271   	822.551    	48 	222113     	1.43322	0.407215	271   	12824.9    	115.29 	48 	174	117  	4  	271   	25.5051
49 	264   	3574.98    	49 	1.03339e+06	1.35501	0.407215	264   	59567.6    	116.917	49 	181	118  	6  	264   	25.5685
50 	275   	96084.4    	50 	2.87388e+07	1.33266	0.229887	275   	1.65645e+06	114.683	50 	183	116.5	1  	275   	25.9904
   	      	                                  fitness                                  	                          size
   	      	---------------------------------------------------------------------------	-------------------------------------------------------
gen	nevals	avg        	gen	max        	med    	min    	nevals	std        	avg 	gen	max	med	min	nevals	std
